Car_name,Fast_charge,Battery,Efficiency,Price.DE.,Range,Top_speed,acceleration
Abarth 500e Convertible,0,38,168,40990,225,155,7
Abarth 500e Hatchback,0,38,168,37990,225,155,7
Aiways U5,0,60,190,39563,315,150,7.5
Aiways U6,0,60,171,47588,350,160,7
Audi e-tron GT quattro,1,85,202,106050,420,245,4.1
Audi e-tron GT RS,1,85,210,146050,405,250,3.3
Audi Q4 e-tron 45,1,77,183,52950,420,180,6.7
Audi Q4 e-tron 45 quattro,1,77,195,54950,395,180,6.6
Audi Q4 e-tron 55 quattro,1,77,195,59000,395,180,5.4
Audi Q4 Sportback e-tron 45,1,77,177,54950,435,180,6.7
Audi Q4 Sportback e-tron 45 quattro,1,77,186,56950,415,180,6.6
Audi Q4 Sportback e-tron 55 quattro,1,77,186,61000,415,180,5.4
Audi Q8 e-tron 50 quattro,1,89,209,74400,425,200,6
Audi Q8 e-tron 55 quattro,1,106,210,85300,505,200,5.6
Audi Q8 e-tron Sportback 50 quattro,1,89,200,76650,445,200,6
Audi Q8 e-tron Sportback 55 quattro,1,106,202,87550,525,200,5.6
Audi SQ8 e-tron,1,106,233,95800,455,210,4.5
Audi SQ8 e-tron Sportback,1,106,221,98050,480,210,4.5
BMW i4 eDrive35,1,67,156,56500,430,190,6
BMW i4 eDrive40,1,81,157,59200,515,190,5.7
BMW i4 M50,1,81,179,70800,450,225,3.9
BMW i5 eDrive40 Sedan,1,81,171,70200,475,193,6
BMW i5 M60 xDrive Sedan,1,81,191,99500,425,230,3.8
BMW i7 eDrive50,1,102,196,115700,520,205,5.5
BMW i7 M70 xDrive,1,102,208,181800,490,250,3.7
BMW i7 xDrive60,1,102,199,139900,510,240,4.7
BMW iX M60,1,105,217,136100,485,250,3.8
BMW iX xDrive40,0,71,197,77300,360,200,6.1
BMW iX xDrive50,1,105,208,100100,505,200,4.6
BMW iX1 eDrive20,1,65,166,47900,390,170,8.3
BMW iX1 xDrive30,0,65,170,55000,380,180,5.6
BMW iX2 xDrive30,0,65,170,56500,380,180,5.6
BMW iX3,0,74,192,67300,385,180,6.8
BYD ATTO 3,0,61,183,44625,330,160,7.3
BYD DOLPHIN 44.9 kWh Active,0,45,176,29990,255,150,10
BYD DOLPHIN 44.9 kWh Boost,0,45,176,32740,255,160,8
BYD DOLPHIN 60.4 kWh,0,61,178,35990,340,160,7
BYD HAN,0,85,180,70805,475,180,3.9
BYD SEAL 82.5 kWh AWD Excellence,0,83,170,53668,485,180,3.8
BYD SEAL 82.5 kWh RWD Design,0,83,165,47578,500,180,5.9
BYD TANG,0,86,240,71400,360,180,4.6
Citroen e-Berlingo M 50 kWh,0,46,226,37790,205,135,11.7
Citroen e-Berlingo XL 50 kWh,0,46,226,43640,205,135,11.7
Citroen e-C3,0,44,176,23300,250,135,11
Citroen e-C4,0,46,160,36040,290,150,9.7
Citroen e-C4 54 kWh,0,51,154,41540,330,150,10
Citroen e-C4 X,0,46,162,37540,285,150,9.7
Citroen e-C4 X 54 kWh,0,51,154,41540,330,150,10
Citroen e-Jumpy Combi M 50 kWh,0,46,250,51940,185,130,12.1
Citroen e-Jumpy Combi M 75 kWh,0,68,257,57940,265,130,13.3
Citroen e-Jumpy Combi XL 50 kWh,0,46,257,52730,180,130,12.1
Citroen e-Jumpy Combi XL 75 kWh,0,68,262,58730,260,130,13.3
Citroen e-SpaceTourer M 50 kWh,0,46,250,53640,185,130,12.1
Citroen e-SpaceTourer M 75 kWh,0,68,257,59640,265,130,13.3
Citroen e-SpaceTourer XL 50 kWh,0,46,257,54430,180,130,12.1
Citroen e-SpaceTourer XL 75 kWh,0,68,262,60430,260,130,13.3
CUPRA Born 150 kW - 58 kWh,0,58,166,39370,350,160,7.3
CUPRA Born 170 kW - 58 kWh,0,58,168,40750,345,160,6.6
CUPRA Born 170 kW - 77 kWh,1,77,171,46450,450,160,7
Dacia Spring Electric 45,0,25,152,22550,165,125,19.1
Dacia Spring Electric 65 Extreme,0,25,156,24550,160,125,13.7
DS 3 E-Tense,0,51,169,40540,300,150,9
Elaris BEO 86 kWh,0,81,208,53090,390,150,8
Fiat 500e 3+1 42 kWh,0,37,159,36990,235,150,9
Fiat 500e Cabrio 24 kWh,0,21,158,35490,135,135,9
Fiat 500e Cabrio 42 kWh,0,37,162,37990,230,150,9
Fiat 500e Hatchback 24 kWh,0,21,158,30990,135,135,9
Fiat 500e Hatchback 42 kWh,0,37,159,34990,235,150,9
Fiat 600e,0,51,167,36490,305,150,9
Fiat E-Ulysse L2 50 kWh,0,46,250,55990,185,130,12.1
Fiat E-Ulysse L2 75 kWh,0,68,257,61990,265,130,13.3
Fiat E-Ulysse L3 50 kWh,0,46,257,56990,180,130,12.1
Fiat E-Ulysse L3 75 kWh,0,68,262,62990,260,130,13.3
Fisker Ocean Extreme,1,107,201,69950,530,205,3.9
Fisker Ocean One,1,107,201,69950,530,205,3.9
Fisker Ocean Sport,0,75,197,41560,380,160,7.4
Fisker Ocean Ultra,1,107,199,57000,535,200,4.2
Ford Mustang Mach-E ER AWD,0,91,204,65900,445,180,5.8
Ford Mustang Mach-E ER RWD,0,91,190,58500,480,180,7
Ford Mustang Mach-E GT,0,91,214,77300,425,200,3.7
Ford Mustang Mach-E SR RWD,0,73,191,55800,380,180,7.3
Genesis G80 Electrified Luxury,1,83,188,69200,440,225,4.9
Genesis GV60 Sport,1,74,195,63200,380,200,5.5
Genesis GV60 Sport Plus,1,74,203,73100,365,235,4
Genesis GV70 Electrified Sport,1,74,211,67300,350,235,4.2
Honda e Advance,0,29,168,39900,170,145,8.3
Honda e:Ny1,0,62,185,47590,335,160,7.6
Hyundai IONIQ 5 Long Range 2WD,1,74,190,47900,390,185,7.3
Hyundai IONIQ 5 Long Range AWD,1,74,192,59200,385,185,5.1
Hyundai IONIQ 5 Standard Range 2WD,1,54,183,43900,295,185,8.5
Hyundai IONIQ 6 Long Range 2WD,1,74,149,54000,495,185,7.4
Hyundai IONIQ 6 Long Range AWD,1,74,168,61100,440,185,5.1
Hyundai IONIQ 6 Standard Range 2WD,1,54,148,43900,365,185,8.8
Hyundai Kona Electric 39 kWh,0,39,160,36400,245,155,9.9
Hyundai Kona Electric 48 kWh,0,48,167,41990,290,160,7.8
Hyundai Kona Electric 64 kWh,0,64,164,42900,390,167,7.9
Hyundai Kona Electric 65 kWh,0,65,168,47190,390,170,8.8
Jaguar I-Pace EV400,0,85,223,92400,380,200,4.8
Jeep Avenger Electric,0,51,164,37000,310,150,9
Kia e-Soul 64 kWh,0,64,173,46950,370,167,7.9
Kia EV6 GT,1,74,206,72990,360,260,3.5
Kia EV6 Long Range 2WD,1,74,180,51990,410,185,7.3
